trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",30,0,-100.43817044747829,"{0: 21, 1: 5, 2: 0, 3: 3, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",20,0,-121.17566814712639,"{0: 7, 1: 6, 2: 4, 3: 3, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",30,0,-124.91324932986389,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,-137.26409448758653,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",30,0,-122.0888556467799,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,0,-27.64066707152524,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",30,21,2.8548712587160674,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,3,-18.634372158279174,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,3,-34.10446095334926,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,2,-123.49335134178853,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 2}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,5,-81.22607686028827,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
46,False,"{'a': 0.01, 'e': 0.631283645506926}",30,0,-124.5981847965618,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",35,0,-138.89885315916715,"{0: 23, 1: 2, 2: 8, 3: 0, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-79.9842284559337,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-86.7513117578068,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-27.626148905044378,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",25,0,-181.34603287543277,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",25,7,9.814989844018612,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,0,-164.3000293535773,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,13,-1.912001914342548,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,10,2.9224258743553655,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,11,-61.901213640226196,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,0,-22.856022842287036,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",20,0,7.966615918859008,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",30,7,-125.46417897310675,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 3}",1
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,8,9.190275237683286,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,0,-13.14883807992309,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",35,10,-110.89749843049543,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",1
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",30,0,-73.2560657896954,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,15,-41.44354784088928,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.522045776761016}",30,15,-14.577345254104207,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",30,0,-84.65734731043011,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",25,0,-1.7081579892963403,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,7,-24.757697878222814,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",25,17,13.258916020137141,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",25,17,17.462020426344942,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",25,0,-7.1637635982040395,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",35,23,-66.68532103797473,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",25,0,-41.505244037245376,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,0,-54.46802457468947,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,15,-28.415713249056907,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",25,7,20.361323216350243,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",25,0,-130.20340507857026,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,13,-6.464078363598249,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,0,-33.01018463719468,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",25,0,-26.714610962082638,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",25,18,13.668068349658405,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",20,2,-77.16817957911648,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,0,-18.619091219235997,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",25,0,0.40271328324782174,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",25,16,15.264455494117879,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,7,10.82684205872017,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.418951549247639}",25,0,-42.86222521668804,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",30,8,-122.59540076084726,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 3}",1
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,11,-30.997794977553824,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,14,-39.41820622893875,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,0,-40.90338301028887,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",20,0,-65.66678576069577,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",30,0,-96.77183694751575,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",25,4,-21.294955827716183,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",35,20,9.45086396416257,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",25,0,-81.60418362678642,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,0,-107.52395809440549,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",20,0,-23.049222598671953,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",30,0,-4.7934649349410945,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",25,16,13.153717140160166,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",30,15,10.857058402096426,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,0,-51.864166077616545,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",30,0,-56.87779810748979,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",25,13,-32.40809518537976,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",20,0,19.28992347298146,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",20,0,-61.595346985977656,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,2,-7.862522580106878,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,0,2.0541049201954378,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.33621649370673334}",25,3,-47.44884068323404,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",30,19,4.826396518922032,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",35,2,14.714093095516239,"{0: 29, 1: 2, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",20,3,-71.39316127048104,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,4,-6.165399584190681,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",20,11,-6.995420477707627,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,0,-10.863038285216728,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",25,0,-26.918203848376535,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",30,16,23.782842613167038,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",25,3,-2.9387518506403616,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",30,7,-38.39046122867256,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",25,0,-89.24308912522598,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
